,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
381,10.0717,0.3662,0.0483,0.0395,0.0567,-0.0173
382,10.0345,0.4273,0.0843,0.0194,0.0461,-0.0139
383,10.0583,0.3912,0.1448,0.0138,0.0269,-0.0064
384,10.095,0.364,0.0843,0.0105,0.0256,-0.0054
385,10.1077,0.3685,0.0616,0.0162,0.0427,-0.0128
386,10.0467,0.4244,0.136,0.0213,0.0429,-0.0169
387,10.0827,0.4023,0.1477,0.0181,0.03,-0.0109
388,10.0711,0.3674,0.1337,0.0096,0.0267,-0.018
389,10.0595,0.3796,0.1587,0.016,0.0299,-0.0181
390,10.0351,0.4156,0.1709,0.0034,0.0152,-0.0182
391,10.092,0.4145,0.1593,0.0073,0.0043,-0.0128
392,10.0943,0.4151,0.1721,0.0085,0.0011,-0.0129
393,10.0815,0.4138,0.1819,0.0074,0.0053,-0.0148
394,10.0595,0.4151,0.1843,0.0001,0.0001,-0.0118
395,10.0827,0.4041,0.1587,-0.001,0.0001,-0.0097
396,10.0595,0.3919,0.1953,-0.0021,-0.0032,-0.0118
397,10.0723,0.4273,0.1587,-0.0044,-0.003,-0.0107
398,10.0711,0.4388,0.1593,-0.0032,0.001,-0.0087
399,10.0602,0.4279,0.1837,-0.0053,-0.002,-0.0126
400,10.0711,0.462,0.1471,-0.0024,-0.0011,-0.0107
401,10.0814,0.4266,0.1722,-0.0012,-0.0051,-0.0085
402,10.1058,0.4285,0.1709,-0.0085,-0.0055,-0.0117
403,10.0718,0.4401,0.1587,-0.0075,-0.0063,-0.0106
404,10.0949,0.4388,0.1336,-0.0064,-0.0002,-0.0087
405,10.0711,0.4401,0.194,-0.0043,-0.0071,-0.0076
406,10.084,0.4292,0.1356,0.0,-0.0054,-0.0095
407,10.0487,0.4626,0.1574,-0.0063,-0.0022,-0.0054
408,10.0718,0.4645,0.1594,-0.0063,-0.0075,-0.0065
409,10.0711,0.4639,0.1343,-0.0043,-0.0034,-0.0054
410,10.0711,0.4503,0.1702,0.0,-0.0115,-0.0011
411,10.0942,0.4496,0.1119,-0.0011,-0.0077,-0.0022
412,10.0725,0.4395,0.1573,0.0032,-0.0021,-0.0042
413,10.0596,0.4293,0.1214,-0.002,-0.0044,-0.0011
414,10.0948,0.4646,0.1099,0.0001,-0.0034,-0.0011
